week,Jeb Bush,Hillary Clinton,Donald Trump,Ben Carson,Ted Cruz,Chris Christie,Rand Paul,Marco Rubio,Scott Walker,Bernie Sanders,Rick Santorum,Jim Webb,Rick Perry,George Pataki,Carly Fiorina,Mike Huckabee,John Kasich,Martin O'Malley,Bobby Jindal,Lindsey Graham,Lincoln Chafee
1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2,4,3,2,6,8,1,7,11,9,13,12,15,10,19,14,5,17,20,18,16,21
3,5,1,2,6,4,3,9,7,10,12,14,19,11,18,13,8,16,21,15,17,20
4,7,2,1,6,4,11,9,8,10,14,15,18,12,20,17,3,16,19,5,13,21
5,4,2,1,5,7,6,9,10,3,13,15,18,11,19,17,8,16,20,12,14,21
6,6,2,4,7,10,5,3,11,1,14,17,19,13,16,12,8,18,20,9,15,21
7,5,1,4,3,8,7,6,13,2,11,10,18,14,19,17,12,16,20,9,15,21
8,4,1,2,5,8,7,6,10,3,11,15,18,12,19,13,9,16,20,14,17,21
9,4,2,3,5,8,7,6,10,1,14,16,15,12,19,9,13,18,20,11,17,21
10,5,1,4,2,8,7,6,9,3,11,15,18,12,20,14,10,17,19,16,13,21
11,5,1,2,3,8,9,6,10,4,11,16,14,15,20,13,12,19,18,17,7,21
12,6,1,2,5,3,8,7,9,4,12,11,15,17,20,14,10,18,19,13,16,21
13,5,2,3,7,1,9,4,8,6,10,11,16,15,20,17,13,14,19,12,18,21
14,7,1,3,8,2,10,9,6,5,11,13,19,14,20,4,12,17,18,15,16,21
15,4,2,6,7,3,9,1,8,5,11,12,18,15,21,10,14,19,20,16,17,13
16,5,1,6,7,4,8,3,2,9,11,18,15,16,21,10,12,20,17,14,19,13
17,6,1,7,9,4,8,3,2,5,12,10,17,18,21,11,16,15,19,13,14,20
18,6,2,3,8,4,9,5,7,10,1,13,15,18,21,11,12,16,14,17,19,20
19,9,2,6,1,7,12,8,11,10,3,13,16,14,21,4,5,17,19,18,15,20
20,2,1,7,4,6,9,8,5,11,3,14,17,13,16,10,12,18,21,15,19,20
21,4,1,7,5,6,12,3,8,10,2,15,19,16,18,14,9,17,20,13,11,21
22,9,1,7,5,8,14,4,11,13,2,3,20,18,6,12,10,19,16,15,17,21
23,9,1,8,10,6,7,3,11,12,2,14,21,5,19,16,13,20,17,18,4,15
24,4,1,7,9,10,6,8,3,11,2,14,20,12,19,13,15,17,21,18,5,16
25,2,3,1,6,12,8,5,7,11,4,14,21,10,19,13,16,18,15,17,9,20
