country,type,capital,share,vote,color
China,Regional,29780.4,0.3034,0.2606,#e34f4f
India,Regional,8367.3,0.0852,0.0751,#ff8f67
Russia,Regional,6536.2,0.0666,0.0593,#63483f
Germany,Nonregional,4484.2,0.0457,0.0415,#d0755a
Korea,Regional,3738.8,0.0381,0.0350,#266867
Australia,Regional,3691.2,0.0376,0.0346,#668132
France,Nonregional,3375.6,0.0344,0.0319,#ff8f67
Indonesia,Regional,3360.7,0.0342,0.0317,#b86c16
Brazil,Nonregional,3181,0.0324,0.0302,#a99a5f
United Kingdom,Nonregional,3054.7,0.0311,0.0291,#603435
Turkey,Regional,2609.9,0.0266,0.0252,#ffef8d
Italy,Nonregional,2571.8,0.0262,0.0249,#b58d83
Saudi Arabia,Regional,2544.6,0.0259,0.0247,#9e5a5b
Spain,Nonregional,1761.5,0.0179,0.0179,#9b405f
Iran,Regional,1580.8,0.0161,0.0163,#f3b955
Thailand,Regional,1427.5,0.0145,0.0150,#788083
United Arab Emirates,Regional,1185.7,0.0121,0.0129,#369899
Pakistan,Regional,1034.1,0.0105,0.0116,#c2da7c
Netherlands,Nonregional,1031.3,0.0105,0.0116,#3e4e5b
Philippines,Regional,979.1,0.0100,0.0111,#f68539
Poland,Nonregional,831.8,0.0085,0.0098,#233332
Israel,Regional,749.9,0.0076,0.0091,#c66c6b
Kazakhstan,Regional,729.3,0.0074,0.0089,#f0a554
Switzerland,Nonregional,706.4,0.0072,0.0087,#626b4e
Vietnam,Regional,663.3,0.0068,0.0084,#565c68
Bangladesh,Regional,660.5,0.0067,0.0083,#4cd6d6
Egypt,Nonregional,650.5,0.0066,0.0083,#564b49
Sweden,Nonregional,630,0.0064,0.0081,#D1CFE2
Qatar,Regional,604.4,0.0062,0.0079,#adbc7b
South Africa,Nonregional,590.5,0.0060,0.0077,#9CADCE
Norway,Nonregional,550.6,0.0056,0.0074,#7EC4CF
Kuwait,Regional,536,0.0055,0.0073,#995735
Austria,Nonregional,500.8,0.0051,0.0070,#D4AFB9
New Zealand,Regional,461.5,0.0047,0.0066,#ddc24d
Denmark,Nonregional,369.5,0.0038,0.0058,#D4B483
Finland,Nonregional,310.3,0.0032,0.0053,#18435A
Sri Lanka,Regional,269,0.0027,0.0050,#da172
Myanmar,Regional,264.5,0.0027,0.0049,#3faeb5
Oman,Regional,259.2,0.0026,0.0049,#873130
Azerbaijan,Regional,254.1,0.0026,0.0048,#b2a97e
Singapore,Regional,250,0.0025,0.0048,#a88895
Uzbekistan,Regional,219.8,0.0022,0.0045,#5a697c
Jordan,Regional,119.2,0.0012,0.0037,#577776
Malaysia,Regional,109.5,0.0011,0.0036,#7c8864
Nepal,Regional,80.9,0.0008,0.0033,#6d5342
Luxembourg,Nonregional,69.7,0.0007,0.0032,#ADEEE3
Portugal,Nonregional,65,0.0007,0.0032,#BDADEA
Cambodia,Regional,62.3,0.0006,0.0032,#6b633e
Georgia,Regional,53.9,0.0005,0.0031,#a57d7d
Brunei,Regional,52.4,0.0005,0.0031,#c79385
Laos,Regional,43,0.0004,0.0030,#de8aab
Mongolia,Regional,41.1,0.0004,0.0030,#a2bcb9
Tajikistan,Regional,30.9,0.0003,0.0029,#4e3f3a
Kyrgyzstan,Regional,26.8,0.0003,0.0029,#726c54
Iceland,Nonregional,17.6,0.0002,0.0028,#A8BD38
Maldives,Regional,7.2,0.0001,0.0027,#704c4c
Malta,Nonregional,13.6,0.0001,0.0027,#C2B937
