year	day	hour	value
2003	6	24	84
2003	5	24	79
2003	4	24	62
2003	3	24	61
2003	2	24	56
2003	1	24	47
2003	7	24	105
2004	6	24	111
2004	5	24	70
2004	4	24	53
2004	3	24	56
2004	2	24	68
2004	1	24	66
2004	7	24	117
2005	6	24	115
2005	5	24	83
2005	4	24	73
2005	3	24	80
2005	2	24	70
2005	1	24	81
2005	7	24	111
2006	6	24	100
2006	5	24	95
2006	4	24	71
2006	3	24	77
2006	2	24	75
2006	1	24	86
2006	7	24	125
2007	6	24	119
2007	5	24	84
2007	4	24	68
2007	3	24	81
2007	2	24	81
2007	1	24	86
2007	7	24	137
2008	6	24	111
2008	5	24	77
2008	4	24	72
2008	3	24	69
2008	2	24	65
2008	1	24	75
2008	7	24	125
2009	6	24	119
2009	5	24	84
2009	4	24	69
2009	3	24	70
2009	2	24	76
2009	1	24	67
2009	7	24	123
2010	6	24	94
2010	5	24	65
2010	4	24	52
2010	3	24	34
2010	2	24	55
2010	1	24	59
2010	7	24	103
2011	6	24	88
2011	5	24	58
2011	4	24	54
2011	3	24	63
2011	2	24	59
2011	1	24	53
2011	7	24	89
2012	6	24	112
2012	5	24	62
2012	4	24	60
2012	3	24	67
2012	2	24	56
2012	1	24	68
2012	7	24	107
2013	6	24	118
2013	5	24	106
2013	4	24	84
2013	3	24	77
2013	2	24	82
2013	1	24	77
2013	7	24	137
2014	6	24	138
2014	5	24	114
2014	4	24	88
2014	3	24	79
2014	2	24	84
2014	1	24	83
2014	7	24	151
2015	6	24	119
2015	5	24	67
2015	4	24	66
2015	3	24	69
2015	2	24	56
2015	1	24	69
2015	7	24	121
2003	6	1	56
2003	5	1	33
2003	4	1	30
2003	3	1	38
2003	2	1	34
2003	1	1	35
2003	7	1	83
2004	6	1	64
2004	5	1	43
2004	4	1	39
2004	3	1	34
2004	2	1	35
2004	1	1	33
2004	7	1	55
2005	6	1	80
2005	5	1	38
2005	4	1	49
2005	3	1	37
2005	2	1	48
2005	1	1	49
2005	7	1	66
2006	6	1	73
2006	5	1	67
2006	4	1	44
2006	3	1	53
2006	2	1	46
2006	1	1	58
2006	7	1	79
2007	6	1	82
2007	5	1	47
2007	4	1	38
2007	3	1	40
2007	2	1	38
2007	1	1	43
2007	7	1	87
2008	6	1	66
2008	5	1	41
2008	4	1	44
2008	3	1	40
2008	2	1	36
2008	1	1	49
2008	7	1	75
2009	6	1	64
2009	5	1	47
2009	4	1	37
2009	3	1	40
2009	2	1	29
2009	1	1	35
2009	7	1	79
2010	6	1	41
2010	5	1	32
2010	4	1	23
2010	3	1	23
2010	2	1	22
2010	1	1	18
2010	7	1	57
2011	6	1	60
2011	5	1	28
2011	4	1	24
2011	3	1	23
2011	2	1	23
2011	1	1	28
2011	7	1	65
2012	6	1	53
2012	5	1	35
2012	4	1	39
2012	3	1	43
2012	2	1	32
2012	1	1	35
2012	7	1	67
2013	6	1	71
2013	5	1	49
2013	4	1	50
2013	3	1	58
2013	2	1	53
2013	1	1	37
2013	7	1	86
2014	6	1	87
2014	5	1	53
2014	4	1	48
2014	3	1	49
2014	2	1	59
2014	1	1	55
2014	7	1	105
2015	6	1	75
2015	5	1	49
2015	4	1	32
2015	3	1	60
2015	2	1	38
2015	1	1	33
2015	7	1	72
2003	6	2	48
2003	5	2	34
2003	4	2	29
2003	3	2	34
2003	2	2	21
2003	1	2	31
2003	7	2	53
2004	6	2	52
2004	5	2	26
2004	4	2	32
2004	3	2	26
2004	2	2	29
2004	1	2	31
2004	7	2	67
2005	6	2	65
2005	5	2	42
2005	4	2	35
2005	3	2	22
2005	2	2	30
2005	1	2	29
2005	7	2	63
2006	6	2	69
2006	5	2	41
2006	4	2	38
2006	3	2	37
2006	2	2	35
2006	1	2	51
2006	7	2	68
2007	6	2	64
2007	5	2	29
2007	4	2	30
2007	3	2	29
2007	2	2	32
2007	1	2	39
2007	7	2	51
2008	6	2	50
2008	5	2	40
2008	4	2	31
2008	3	2	28
2008	2	2	25
2008	1	2	29
2008	7	2	66
2009	6	2	47
2009	5	2	26
2009	4	2	35
2009	3	2	26
2009	2	2	26
2009	1	2	24
2009	7	2	51
2010	6	2	43
2010	5	2	27
2010	4	2	21
2010	3	2	11
2010	2	2	25
2010	1	2	17
2010	7	2	53
2011	6	2	37
2011	5	2	25
2011	4	2	30
2011	3	2	29
2011	2	2	24
2011	1	2	19
2011	7	2	37
2012	6	2	50
2012	5	2	28
2012	4	2	19
2012	3	2	16
2012	2	2	17
2012	1	2	27
2012	7	2	50
2013	6	2	57
2013	5	2	44
2013	4	2	31
2013	3	2	30
2013	2	2	32
2013	1	2	29
2013	7	2	70
2014	6	2	58
2014	5	2	46
2014	4	2	33
2014	3	2	38
2014	2	2	34
2014	1	2	31
2014	7	2	85
2015	6	2	54
2015	5	2	38
2015	4	2	28
2015	3	2	21
2015	2	2	20
2015	1	2	27
2015	7	2	53
2003	6	3	25
2003	5	3	29
2003	4	3	15
2003	3	3	17
2003	2	3	11
2003	1	3	18
2003	7	3	39
2004	6	3	28
2004	5	3	9
2004	4	3	14
2004	3	3	8
2004	2	3	19
2004	1	3	16
2004	7	3	25
2005	6	3	44
2005	5	3	29
2005	4	3	19
2005	3	3	21
2005	2	3	19
2005	1	3	20
2005	7	3	31
2006	6	3	32
2006	5	3	29
2006	4	3	29
2006	3	3	27
2006	2	3	19
2006	1	3	31
2006	7	3	56
2007	6	3	40
2007	5	3	25
2007	4	3	19
2007	3	3	25
2007	2	3	18
2007	1	3	24
2007	7	3	32
2008	6	3	32
2008	5	3	21
2008	4	3	23
2008	3	3	16
2008	2	3	25
2008	1	3	22
2008	7	3	33
2009	6	3	30
2009	5	3	23
2009	4	3	24
2009	3	3	12
2009	2	3	21
2009	1	3	20
2009	7	3	42
2010	6	3	16
2010	5	3	16
2010	4	3	11
2010	3	3	18
2010	2	3	14
2010	1	3	15
2010	7	3	24
2011	6	3	21
2011	5	3	16
2011	4	3	12
2011	3	3	9
2011	2	3	9
2011	1	3	11
2011	7	3	31
2012	6	3	18
2012	5	3	18
2012	4	3	17
2012	3	3	14
2012	2	3	14
2012	1	3	21
2012	7	3	43
2013	6	3	29
2013	5	3	30
2013	4	3	22
2013	3	3	30
2013	2	3	25
2013	1	3	29
2013	7	3	38
2014	6	3	41
2014	5	3	26
2014	4	3	26
2014	3	3	31
2014	2	3	21
2014	1	3	20
2014	7	3	48
2015	6	3	30
2015	5	3	29
2015	4	3	26
2015	3	3	14
2015	2	3	16
2015	1	3	24
2015	7	3	50
2003	6	4	13
2003	5	4	16
2003	4	4	9
2003	3	4	13
2003	2	4	11
2003	1	4	11
2003	7	4	14
2004	6	4	10
2004	5	4	8
2004	4	4	8
2004	3	4	12
2004	2	4	9
2004	1	4	10
2004	7	4	9
2005	6	4	31
2005	5	4	11
2005	4	4	11
2005	3	4	13
2005	2	4	10
2005	1	4	11
2005	7	4	20
2006	6	4	22
2006	5	4	16
2006	4	4	18
2006	3	4	19
2006	2	4	21
2006	1	4	26
2006	7	4	33
2007	6	4	35
2007	5	4	16
2007	4	4	16
2007	3	4	18
2007	2	4	17
2007	1	4	11
2007	7	4	17
2008	6	4	18
2008	5	4	9
2008	4	4	11
2008	3	4	16
2008	2	4	14
2008	1	4	14
2008	7	4	20
2009	6	4	16
2009	5	4	12
2009	4	4	13
2009	3	4	13
2009	2	4	17
2009	1	4	17
2009	7	4	21
2010	6	4	17
2010	5	4	15
2010	4	4	11
2010	3	4	11
2010	2	4	11
2010	1	4	10
2010	7	4	16
2011	6	4	9
2011	5	4	10
2011	4	4	9
2011	3	4	11
2011	2	4	7
2011	1	4	10
2011	7	4	17
2012	6	4	13
2012	5	4	10
2012	4	4	16
2012	3	4	14
2012	2	4	7
2012	1	4	9
2012	7	4	13
2013	6	4	25
2013	5	4	19
2013	4	4	18
2013	3	4	23
2013	2	4	22
2013	1	4	26
2013	7	4	23
2014	6	4	20
2014	5	4	21
2014	4	4	19
2014	3	4	15
2014	2	4	18
2014	1	4	12
2014	7	4	22
2015	6	4	20
2015	5	4	17
2015	4	4	12
2015	3	4	15
2015	2	4	10
2015	1	4	18
2015	7	4	17
2003	6	5	13
2003	5	5	15
2003	4	5	9
2003	3	5	15
2003	2	5	12
2003	1	5	13
2003	7	5	10
2004	6	5	17
2004	5	5	12
2004	4	5	14
2004	3	5	13
2004	2	5	12
2004	1	5	14
2004	7	5	14
2005	6	5	8
2005	5	5	17
2005	4	5	16
2005	3	5	16
2005	2	5	14
2005	1	5	21
2005	7	5	10
2006	6	5	20
2006	5	5	20
2006	4	5	15
2006	3	5	24
2006	2	5	25
2006	1	5	20
2006	7	5	18
2007	6	5	12
2007	5	5	14
2007	4	5	16
2007	3	5	15
2007	2	5	12
2007	1	5	16
2007	7	5	10
2008	6	5	19
2008	5	5	15
2008	4	5	16
2008	3	5	13
2008	2	5	16
2008	1	5	19
2008	7	5	15
2009	6	5	11
2009	5	5	16
2009	4	5	15
2009	3	5	10
2009	2	5	17
2009	1	5	13
2009	7	5	6
2010	6	5	14
2010	5	5	7
2010	4	5	12
2010	3	5	12
2010	2	5	9
2010	1	5	6
2010	7	5	10
2011	6	5	11
2011	5	5	6
2011	4	5	12
2011	3	5	14
2011	2	5	10
2011	1	5	10
2011	7	5	5
2012	6	5	5
2012	5	5	12
2012	4	5	15
2012	3	5	10
2012	2	5	15
2012	1	5	15
2012	7	5	13
2013	6	5	20
2013	5	5	16
2013	4	5	15
2013	3	5	17
2013	2	5	25
2013	1	5	27
2013	7	5	23
2014	6	5	24
2014	5	5	19
2014	4	5	18
2014	3	5	18
2014	2	5	20
2014	1	5	29
2014	7	5	21
2015	6	5	14
2015	5	5	13
2015	4	5	16
2015	3	5	15
2015	2	5	20
2015	1	5	15
2015	7	5	17
2003	6	6	19
2003	5	6	27
2003	4	6	25
2003	3	6	32
2003	2	6	28
2003	1	6	29
2003	7	6	15
2004	6	6	17
2004	5	6	25
2004	4	6	30
2004	3	6	44
2004	2	6	23
2004	1	6	18
2004	7	6	17
2005	6	6	13
2005	5	6	34
2005	4	6	26
2005	3	6	32
2005	2	6	31
2005	1	6	32
2005	7	6	19
2006	6	6	24
2006	5	6	24
2006	4	6	28
2006	3	6	32
2006	2	6	28
2006	1	6	37
2006	7	6	20
2007	6	6	20
2007	5	6	16
2007	4	6	28
2007	3	6	29
2007	2	6	33
2007	1	6	26
2007	7	6	27
2008	6	6	16
2008	5	6	19
2008	4	6	26
2008	3	6	34
2008	2	6	27
2008	1	6	22
2008	7	6	16
2009	6	6	9
2009	5	6	17
2009	4	6	19
2009	3	6	17
2009	2	6	23
2009	1	6	24
2009	7	6	17
2010	6	6	13
2010	5	6	21
2010	4	6	17
2010	3	6	17
2010	2	6	17
2010	1	6	20
2010	7	6	15
2011	6	6	11
2011	5	6	12
2011	4	6	18
2011	3	6	13
2011	2	6	18
2011	1	6	4
2011	7	6	8
2012	6	6	21
2012	5	6	13
2012	4	6	20
2012	3	6	18
2012	2	6	24
2012	1	6	18
2012	7	6	19
2013	6	6	28
2013	5	6	33
2013	4	6	33
2013	3	6	31
2013	2	6	31
2013	1	6	29
2013	7	6	32
2014	6	6	27
2014	5	6	38
2014	4	6	31
2014	3	6	28
2014	2	6	45
2014	1	6	30
2014	7	6	28
2015	6	6	15
2015	5	6	23
2015	4	6	23
2015	3	6	28
2015	2	6	22
2015	1	6	31
2015	7	6	24
2003	6	7	26
2003	5	7	33
2003	4	7	41
2003	3	7	42
2003	2	7	44
2003	1	7	39
2003	7	7	23
2004	6	7	19
2004	5	7	33
2004	4	7	38
2004	3	7	50
2004	2	7	36
2004	1	7	37
2004	7	7	19
2005	6	7	27
2005	5	7	44
2005	4	7	43
2005	3	7	56
2005	2	7	51
2005	1	7	60
2005	7	7	26
2006	6	7	29
2006	5	7	54
2006	4	7	60
2006	3	7	46
2006	2	7	48
2006	1	7	60
2006	7	7	31
2007	6	7	24
2007	5	7	41
2007	4	7	48
2007	3	7	51
2007	2	7	58
2007	1	7	41
2007	7	7	26
2008	6	7	24
2008	5	7	35
2008	4	7	37
2008	3	7	25
2008	2	7	43
2008	1	7	37
2008	7	7	20
2009	6	7	19
2009	5	7	25
